update,steps,avg_return,win_rate,value_loss
143,108544,-0.002918356331065297,0.0,0.00012720358790829778
144,110592,-0.017175039276480675,0.0,0.0001523273385828361
145,112640,-0.009243475273251534,0.0,0.0005316584138199687
146,114688,-0.0048642028123140335,0.0,0.0002358705532969907
147,116736,0.003106778021901846,0.0,0.0005896313232369721
148,118784,0.023186106234788895,0.0,0.0001322629686910659
149,120832,0.026595979928970337,0.0,0.00021773688786197454
150,122880,0.0245513878762722,0.0,0.0002240281319245696
151,124928,0.022673802450299263,0.0,0.0002531758800614625
152,126976,0.04115854948759079,0.0,0.00014575946261174977
153,129024,0.03649057075381279,0.0,0.0006444808677770197
154,131072,0.04858523607254028,0.0,0.00012066501949448138
155,133120,0.041806094348430634,0.0,0.0001281267323065549
156,135168,0.029389573261141777,0.0,0.00020499140373431146
157,137216,0.03627950698137283,0.0,0.0001704762107692659
158,139264,0.02094842866063118,0.0,0.00015571486437693238
159,141312,0.020735984668135643,0.0,0.00012325051648076624
160,143360,0.02295222133398056,0.0,0.00019661652913782746
161,145408,0.01947040855884552,0.0,0.00021672436560038477
162,147456,0.016488470137119293,0.0,0.00029752732370980084
163,149504,0.019531499594449997,0.0,0.00022042408818379045
164,151552,0.021827198565006256,0.0,0.0002382448874413967
165,153600,0.025326408445835114,0.0,0.0006521742325276136
166,155648,0.020081212744116783,0.0,0.0002525652525946498
167,157696,0.03380411118268967,0.0,0.00027383374981582165
168,159744,0.03869309276342392,0.0,0.0002916695666499436
169,161792,0.033806752413511276,0.0,0.0003005251055583358
170,163840,0.04388047382235527,0.0,0.00025582878151908517
171,165888,0.05176684260368347,0.0,0.0002369750291109085
172,167936,0.0338614322245121,0.0,0.0006014722166582942
173,169984,0.010961541905999184,0.0,0.00042729778215289116
174,172032,0.022445663809776306,0.0,0.0003175546007696539
175,174080,0.034006956964731216,0.0,0.00017347733955830336
176,176128,0.03913057595491409,0.0,0.0002819456858560443
177,178176,0.03168761730194092,0.0,0.0002542627917136997
178,180224,0.038186416029930115,0.0,0.00027091073570773005
179,182272,0.02710404060781002,0.0,0.00016294862143695354
180,184320,0.030170463025569916,0.0,0.0002052947093034163
181,186368,0.009985562413930893,0.0,0.0002189801016356796
182,188416,0.01879154145717621,0.0,0.00017976519302465022
183,190464,0.019441397860646248,0.0,0.00018864205048885196
184,192512,0.014496272429823875,0.0,0.00017023237887769938
185,194560,0.014084141701459885,0.0,0.00021881057182326913
186,196608,0.008336969651281834,0.0,0.0003196022007614374
187,198656,-0.0007816873257979751,0.0,0.00026567213353700936
188,200704,-0.013255205005407333,0.0,0.0001598082744749263
189,202752,-0.0048057809472084045,0.0,0.0003744477580767125
190,204800,-0.020450031384825706,0.0,0.0001830339606385678
191,206848,-0.011833908967673779,0.0,0.0005103038274683058
192,208896,-0.02525869756937027,0.0,0.00017550938355270773
193,210944,-0.01755264401435852,0.0,0.0002890253090299666
194,212992,-0.0054700858891010284,0.0,0.00035668531199917197
195,215040,-0.017929865047335625,0.0,0.0002852288307622075
196,217088,-0.003796717617660761,0.0,0.0002627688809297979
197,219136,0.010659929364919662,0.0,0.00020816331380046904
198,221184,0.008915457874536514,0.0,0.00036858374369330704
199,223232,0.03199545666575432,0.0,0.0002749873965512961
