update,steps,avg_return,win_rate,value_loss,entropy
60,22528,-0.23576000332832336,0.9,0.00893918052315712,4.053683757781982
61,24576,-0.22214262187480927,0.9083333333333333,0.11876734346151352,4.062863826751709
62,26624,-0.2081071436405182,0.9111111111111111,0.005773422308266163,4.061784267425537
63,28672,-0.19485105574131012,0.9333333333333333,0.00878370925784111,4.046388626098633
64,30720,-0.18778647482395172,0.9266666666666665,0.007198999635875225,4.020425796508789
65,32768,-0.1913057416677475,1.0,0.009718790650367737,3.995920181274414
66,34816,-0.17866551876068115,0.9666666666666667,0.11578318476676941,3.955665349960327
67,36864,-0.18224585056304932,0.9777777777777779,0.012449044734239578,3.8787755966186523
68,38912,-0.16905167698860168,0.9833333333333334,0.008504937402904034,3.823914051055908
69,40960,-0.1675245612859726,0.9580952380952381,0.012336394749581814,3.8197181224823
70,43008,-0.16825930774211884,0.7142857142857143,0.013923157006502151,3.789058208465576
71,45056,-0.17049174010753632,0.8238095238095238,0.00641271797940135,3.7647995948791504
72,47104,-0.18561850488185883,0.7992063492063491,0.010450022295117378,3.7219550609588623
73,49152,-0.18174460530281067,0.8301739926739927,0.007582500576972961,3.7098441123962402
74,51200,-0.16268739104270935,0.8516391941391941,0.01400882937014103,3.7173867225646973
75,53248,-0.15856607258319855,0.9166666666666666,0.00950082577764988,3.705286979675293
76,55296,-0.16486035287380219,0.8583333333333334,0.010108551010489464,3.7492661476135254
77,57344,-0.1765034794807434,0.8817460317460317,0.01583697833120823,3.7262587547302246
78,59392,-0.17530536651611328,0.8904761904761904,0.1178765669465065,3.733633518218994
79,61440,-0.1851051151752472,0.8695238095238095,0.10812066495418549,3.708218574523926
80,63488,-0.18554551899433136,0.7692307692307693,0.00854291208088398,3.679121971130371
81,65536,-0.18384459614753723,0.8179487179487179,0.010466726496815681,3.6604461669921875
82,67584,-0.18422196805477142,0.8786324786324786,0.013338029384613037,3.69415283203125
83,69632,-0.20104999840259552,0.8375457875457876,0.00956428050994873,3.711336135864258
84,71680,-0.17669226229190826,0.8433699633699634,0.012198345735669136,3.643476963043213
85,73728,-0.16472303867340088,0.8666666666666667,0.010820342227816582,3.621453046798706
86,75776,-0.1650947481393814,0.9333333333333333,0.1086338460445404,3.61824369430542
87,77824,-0.14956499636173248,0.9555555555555556,0.010661233216524124,3.6318278312683105
88,79872,-0.16189752519130707,0.9282051282051282,0.01195837464183569,3.620173692703247
89,81920,-0.14438414573669434,0.9158974358974359,0.008525542914867401,3.619813919067383
90,83968,-0.1481647789478302,0.8571428571428571,0.009514855220913887,3.591722011566162
91,86016,-0.16847631335258484,0.7857142857142857,0.11910466849803925,3.550851345062256
92,88064,-0.15932826697826385,0.8126984126984128,0.014697912149131298,3.589226245880127
93,90112,-0.16123923659324646,0.7928571428571428,0.010628797113895416,3.6262569427490234
94,92160,-0.18625077605247498,0.7676190476190475,0.012088694609701633,3.6239686012268066
95,94208,-0.18294571340084076,0.7857142857142857,0.11090950667858124,3.6113429069519043
96,96256,-0.17377957701683044,0.8214285714285714,0.11811928451061249,3.6063201427459717
97,98304,-0.18063804507255554,0.8531746031746031,0.11172373592853546,3.622142791748047
98,100352,-0.18549975752830505,0.856547619047619,0.012246303260326385,3.639545202255249
99,102400,-0.17871502041816711,0.8852380952380953,0.014692437835037708,3.615856647491455
